Category,Correction,Original Text,Position
Artifacts,Immortal Son→Immortal Sun,immortal son,62267
Guilds,Celestia Conclave→Selesnya Conclave,Celestia Conclave,1289
PC Names,Santis→Sanis,Santis,60998
PC Names,Santis→Sanis,Santis,89061
PC Names,Santis→Sanis,Santis,98576
PC Names,Santis→Sanis,Santis,109132
PC Names,Santis→Sanis,Santis,148138
PC Names,Santus→Sanis,Santus,96118
PC Names,Varus→Varis,Varus,2375
PC Names,Varus→Varis,Varus,22088
PC Names,Varus→Varis,Varus,23037
PC Names,Varus→Varis,Varus,29432
PC Names,Varus→Varis,Varus,45361
PC Names,Varus→Varis,Varus,52030
PC Names,Varus→Varis,Varus,52507
PC Names,Varus→Varis,Varus,52643
PC Names,Varus→Varis,Varus,75247
PC Names,Varus→Varis,Varus,92671
PC Names,Varus→Varis,Varus,95765
PC Names,Varus→Varis,Varus,96297
PC Names,Varus→Varis,Varus,98563
PC Names,Varus→Varis,Varus,98903
PC Names,Varus→Varis,Varus,116403
PC Names,Varus→Varis,Varus,121157
PC Names,Varus→Varis,Varus,145739
PC Names,Varus→Varis,Varus,152073
PC Names,Varus→Varis,Varus,152264
PC Names,Varus→Varis,Varus,157136
Characters,Tesserik→Tezzeret,Tesserik,74298
Characters,Tezzerin→Tezzeret,Tezzerin,131622
Characters,Tesserit→Tezzeret,Tesserit,61671
Characters,Tesserit→Tezzeret,Tesserit,75538
Characters,Tesserit→Tezzeret,tesserit,106832
Characters,Tesserit→Tezzeret,Tesserit,118275
Characters,Tesserit→Tezzeret,Tesserit,144256
Planes,Exelon→Ixalan,Exelon,8059
PC Names,Ren→Rin,"
Ren ",41239
PC Names,Ren→Rin," Ren,",107204
PC Names,Ren→Rin, Ren ,161022
PC Names,Selina→Selena," Selina,",143867
