Category,Correction,Original Text,Position
Characters,Bantu→Bontu,Bantu,6952
Characters,Bantu→Bontu,Bantu,18757
Characters,Bantu→Bontu,Bantu,18789
Characters,Bantu→Bontu,Bantu,20923
Characters,Bantu→Bontu,Bantu,21871
Characters,Bantu→Bontu,Bantu,22149
Characters,Bantu→Bontu,Bantu,22194
Characters,Bantu→Bontu,Bantu,23013
Characters,Bantu→Bontu,Bantu,49514
Characters,Bantu→Bontu,Bantu,49521
Characters,Ronas→Rhonas,Ronas,9157
Characters,Ronas→Rhonas,Ronas,9491
Characters,Ronas→Rhonas,Ronas,27789
Characters,Ronas→Rhonas,Ronas,27827
Characters,Khephnet→Kefnet,Khephnet,27176
Characters,Kevnit→Kefnet,Kevnit,9146
Characters,Orogalan→Ur-Ogre-lan,Orogalan,4038
Characters,Orogalan→Ur-Ogre-lan,Orogalan,4073
Characters,Orogalan→Ur-Ogre-lan,Orogalan,4096
Characters,Ogorgalon→Ur-Ogre-lan,Ogorgalon,4268
Characters,Arogalin→Ur-Ogre-lan,Arogalin,65028
Characters,Arogalin→Ur-Ogre-lan,Arogalin,65056
Characters,Dolorah→Dol Arrah,Dolorah,59558
Characters,Dolara→Dol Arrah,Dolara,59350
