Category,Correction,Original Text,Position
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,69008
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,76565
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,76860
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,77152
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,77336
Artifacts,Hell Smasher→HellSmasher,Hell Smasher,80964
Artifacts,Hell's Masher→HellSmasher,Hell's Masher,77164
Locations,Blister Coils→Blistercoils,blister coils,161404
Characters,Bantu→Bontu,Bantu,472
Characters,Bantu→Bontu,Bantu,17672
Characters,Bantu→Bontu,Bantu,17874
Characters,Bantu→Bontu,Bantu,55930
Characters,Bantu→Bontu,Bantu,56844
Characters,Ronas→Rhonas,Ronas,482
Characters,Ronas→Rhonas,Ronas,17806
Characters,Ronas→Rhonas,Ronas,17836
Characters,Ronas→Rhonas,Ronas,17914
Characters,Ronas→Rhonas,Ronas,18987
Characters,Ronas→Rhonas,Ronas,55992
Characters,Ronas→Rhonas,Ronas,56854
Characters,Aphenexa→Aphonexa,Aphenexa,134515
Characters,Aphonexet→Aphonexa,Aphonexet,137360
Artifacts,Hellsmasher→HellSmasher,Hellsmasher,64408
Artifacts,Hellsmasher→HellSmasher,Hellsmasher,65036
Artifacts,Hellsmasher→HellSmasher,HellSmasher,69015
Artifacts,Hellsmasher→HellSmasher,HellSmasher,76571
Artifacts,Hellsmasher→HellSmasher,HellSmasher,76865
Artifacts,Hellsmasher→HellSmasher,HellSmasher,77156
Artifacts,Hellsmasher→HellSmasher,HellSmasher,77171
Artifacts,Hellsmasher→HellSmasher,HellSmasher,77337
Artifacts,Hellsmasher→HellSmasher,HellSmasher,80964
Characters,Dolorah→Dol Arrah,Dolorah,28800
Characters,Dolorah→Dol Arrah,Dolorah,83611
Characters,Dolorah→Dol Arrah,Dolorah,119860
Characters,Dolorah→Dol Arrah,Dolorah,124453
Characters,Dolorah→Dol Arrah,Dolorah,124471
Characters,Dolorah→Dol Arrah,Dolorah,152810
Characters,Dolorah→Dol Arrah,Dolorah,169638
